"Taxon","sumOB23","sumOB25","sumOB24","Order","Genus"
"Acidaminococcales;Acidaminococcus",1,0,0,"Acidaminococcales","Acidaminococcus"
"Acidaminococcales;Phascolarctobacterium",1,0,1,"Acidaminococcales","Phascolarctobacterium"
"Acidimicrobiales;Actinomarinicola",2,1,2,"Acidimicrobiales","Actinomarinicola"
"Acidimicrobiales;Desertimonas",1,0,0,"Acidimicrobiales","Desertimonas"
"Acidimicrobiales;Ilumatobacter",4,3,3,"Acidimicrobiales","Ilumatobacter"
"Aeromonadales;Aeromonas",0,0,0,"Aeromonadales","Aeromonas"
"Aeromonadales;Pseudaeromonas",0,0,0,"Aeromonadales","Pseudaeromonas"
"Aeromonadales;Tolumonas",0,0,0,"Aeromonadales","Tolumonas"
"Alteromonadales;Agarivorans",0,0,0,"Alteromonadales","Agarivorans"
"Alteromonadales;Aliiglaciecola",0,0,0,"Alteromonadales","Aliiglaciecola"
"Alteromonadales;Catenovulum",0,0,0,"Alteromonadales","Catenovulum"
"Alteromonadales;Colwellia",4,1,4,"Alteromonadales","Colwellia"
"Alteromonadales;Echinimonas",0,0,0,"Alteromonadales","Echinimonas"
"Alteromonadales;Ferrimonas",0,0,0,"Alteromonadales","Ferrimonas"
"Alteromonadales;Moritella",0,0,0,"Alteromonadales","Moritella"
"Alteromonadales;Paraglaciecola",0,0,0,"Alteromonadales","Paraglaciecola"
"Alteromonadales;Paramoritella",0,0,0,"Alteromonadales","Paramoritella"
"Alteromonadales;Pseudoalteromonas",0,0,0,"Alteromonadales","Pseudoalteromonas"
"Alteromonadales;Psychrobium",0,0,0,"Alteromonadales","Psychrobium"
"Alteromonadales;Psychromonas",1,1,0,"Alteromonadales","Psychromonas"
"Alteromonadales;Psychrosphaera",0,0,0,"Alteromonadales","Psychrosphaera"
"Alteromonadales;Shewanella",0,0,0,"Alteromonadales","Shewanella"
"Alteromonadales;Thalassotalea",0,0,0,"Alteromonadales","Thalassotalea"
"Anaeroplasmatales;Anaeroplasma",0,0,0,"Anaeroplasmatales","Anaeroplasma"
"Arenicellales;Arenicella",2,1,2,"Arenicellales","Arenicella"
"Armatimonadales;Armatimonas/Armatimonadetes_gp1",1,0,1,"Armatimonadales","Armatimonas/Armatimonadetes_gp1"
"Atribacteria_genera_incertae_sedis;Atribacteria_genera_incertae_sedis",2,1,2,"Atribacteria_genera_incertae_sedis","Atribacteria_genera_incertae_sedis"
"BRC1_genera_incertae_sedis;BRC1_genera_incertae_sedis",0,0,0,"BRC1_genera_incertae_sedis","BRC1_genera_incertae_sedis"
"Bacillales;Gemella",0,1,0,"Bacillales","Gemella"
"Bacillales;Lysinibacillus",1,0,1,"Bacillales","Lysinibacillus"
"Bacillales;Paenibacillus",0,0,0,"Bacillales","Paenibacillus"
"Bacteriovoracales;Bacteriovorax",0,0,0,"Bacteriovoracales","Bacteriovorax"
"Bacteriovoracales;Halobacteriovorax",2,1,2,"Bacteriovoracales","Halobacteriovorax"
"Bacteroidales;Alistipes",2,3,1,"Bacteroidales","Alistipes"
"Bacteroidales;Ancylomarina",0,0,0,"Bacteroidales","Ancylomarina"
"Bacteroidales;Bacteroides",5,5,4,"Bacteroidales","Bacteroides"
"Bacteroidales;Barnesiella",1,1,1,"Bacteroidales","Barnesiella"
"Bacteroidales;Butyricimonas",0,0,0,"Bacteroidales","Butyricimonas"
"Bacteroidales;Carboxylicivirga",0,0,0,"Bacteroidales","Carboxylicivirga"
"Bacteroidales;Duncaniella",1,1,1,"Bacteroidales","Duncaniella"
"Bacteroidales;Fermentimonas",0,0,0,"Bacteroidales","Fermentimonas"
"Bacteroidales;Geofilum",0,0,0,"Bacteroidales","Geofilum"
"Bacteroidales;Labilibaculum",0,0,0,"Bacteroidales","Labilibaculum"
"Bacteroidales;Maribellus",0,0,0,"Bacteroidales","Maribellus"
"Bacteroidales;Odoribacter",2,0,2,"Bacteroidales","Odoribacter"
"Bacteroidales;Paludibacter",0,0,0,"Bacteroidales","Paludibacter"
"Bacteroidales;Parabacteroides",2,0,1,"Bacteroidales","Parabacteroides"
"Bacteroidales;Paramuribaculum",1,0,0,"Bacteroidales","Paramuribaculum"
"Bacteroidales;Petrimonas",1,0,0,"Bacteroidales","Petrimonas"
"Bacteroidales;Phocaeicola",12,4,4,"Bacteroidales","Phocaeicola"
"Bacteroidales;Prevotella",2,3,1,"Bacteroidales","Prevotella"
"Bacteroidales;Prevotellamassilia",0,0,0,"Bacteroidales","Prevotellamassilia"
"Bacteroidales;Prolixibacter",0,0,0,"Bacteroidales","Prolixibacter"
"Bacteroidales;Roseimarinus",0,0,0,"Bacteroidales","Roseimarinus"
"Bacteroidales;Saccharicrinis",0,0,0,"Bacteroidales","Saccharicrinis"
"Bdellovibrionales;Vampirovibrio",0,0,0,"Bdellovibrionales","Vampirovibrio"
"Betaproteobacteria_incertae_sedis;Casimicrobium",0,0,0,"Betaproteobacteria_incertae_sedis","Casimicrobium"
"Bifidobacteriales;Bifidobacterium",2,1,2,"Bifidobacteriales","Bifidobacterium"
"Bradymonadales;Bradymonas",0,0,0,"Bradymonadales","Bradymonas"
"Burkholderiales;Acidovorax",6,4,6,"Burkholderiales","Acidovorax"
"Burkholderiales;Aquabacterium",3,0,1,"Burkholderiales","Aquabacterium"
"Burkholderiales;Bordetella",1,1,1,"Burkholderiales","Bordetella"
"Burkholderiales;Castellaniella",0,0,0,"Burkholderiales","Castellaniella"
"Burkholderiales;Comamonas",3,1,3,"Burkholderiales","Comamonas"
"Burkholderiales;Curvibacter",0,0,0,"Burkholderiales","Curvibacter"
"Burkholderiales;Duganella",0,0,0,"Burkholderiales","Duganella"
"Burkholderiales;Herbaspirillum",0,0,0,"Burkholderiales","Herbaspirillum"
"Burkholderiales;Hydrogenophaga",4,3,3,"Burkholderiales","Hydrogenophaga"
"Burkholderiales;Hydromonas",1,1,0,"Burkholderiales","Hydromonas"
"Burkholderiales;Janthinobacterium",0,0,0,"Burkholderiales","Janthinobacterium"
"Burkholderiales;Malikia",1,0,0,"Burkholderiales","Malikia"
"Burkholderiales;Massilia",0,0,0,"Burkholderiales","Massilia"
"Burkholderiales;Noviherbaspirillum",0,0,0,"Burkholderiales","Noviherbaspirillum"
"Burkholderiales;Parasutterella",1,0,1,"Burkholderiales","Parasutterella"
"Burkholderiales;Pelomonas",0,0,0,"Burkholderiales","Pelomonas"
"Burkholderiales;Polaromonas",4,1,3,"Burkholderiales","Polaromonas"
"Burkholderiales;Polynucleobacter",11,10,9,"Burkholderiales","Polynucleobacter"
"Burkholderiales;Ralstonia",0,0,0,"Burkholderiales","Ralstonia"
"Burkholderiales;Rhizobacter",0,0,0,"Burkholderiales","Rhizobacter"
