OTU_ID,OB05_CA122A2,OB08_CA10,OB11_CA58A1,OB13_CA50B,OB18_CA51A3A,OB21_CA51A3,OB23_T046B4,OB25_T037A2,OB26_T037,OB29_T068C1,OB31_T023D3,OB32_T073A2,OB33_T073A1,OB35_T101B,OB37_T100F,OB38_T101A,OB40_T060D,OB41_T060E,,,
Zotu2669,0,0,0,0,0,0,0,0,0,0,26,3,0,0,0,0,0,0,,,
Zotu2670,0,0,0,0,0,0,0,0,0,0,4,0,0,7,3,0,9,3,,,
Zotu2692,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu2699,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,5,,,
Zotu2725,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,5,,,
Zotu2766,0,0,3,0,0,0,0,0,0,0,4,0,0,18,0,3,0,0,,,
Zotu2767,0,0,0,0,0,0,0,0,0,0,10,0,0,3,10,4,0,0,,,
Zotu2780,0,0,0,0,0,0,0,3,6,0,0,9,0,0,0,0,0,0,,,
Zotu2784,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,6,0,0,,,
Zotu2788,0,0,0,0,0,0,0,0,0,0,0,11,0,3,3,6,0,3,,,
Zotu2801,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu2802,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu2804,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu2833,0,0,0,0,0,0,0,0,0,6,6,4,0,0,7,0,0,0,,,
Zotu2834,0,0,0,0,0,0,0,0,0,3,12,0,0,3,3,0,0,0,,,
Zotu2878,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12,0,5,,,
Zotu2885,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,5,0,,,
Zotu2896,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,
Zotu2907,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,4,6,,,
Zotu2938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,5,,,
Zotu2948,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,,,
Zotu2954,0,0,0,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0,,,
Zotu2955,0,0,0,0,0,0,3,7,0,0,0,5,0,0,0,4,0,0,,,
Zotu2956,0,0,0,0,0,0,0,0,0,3,3,0,8,0,3,0,0,0,,,
Zotu2962,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,8,,,
Zotu2996,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,4,0,0,,,
Zotu3001,0,0,0,0,0,0,0,0,0,19,0,0,0,4,0,0,0,0,,,
Zotu3028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,6,,,
Zotu3029,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,6,,,
Zotu3030,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,4,0,,,
Zotu3048,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,,,
Zotu3058,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,,,
Zotu3064,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,12,,,
Zotu3081,9,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,,,
Zotu3083,0,0,0,0,0,0,0,0,0,0,0,5,9,0,3,4,0,0,,,
Zotu3084,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,,,
Zotu3086,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,4,,,
Zotu3088,0,0,0,0,0,0,0,0,0,0,0,5,7,3,0,0,0,0,,,
Zotu3089,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,10,,,
Zotu3107,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,,,
Zotu3123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,,,
Zotu3130,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,0,0,,,
Zotu3139,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,8,0,3,,,
Zotu3146,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,,,
Zotu3186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,,,
Zotu3203,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,3,,,
Zotu3207,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,7,,,
Zotu3217,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,4,0,0,,,
Zotu3221,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,,,
Zotu3225,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,8,,,
Zotu3231,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,,,
Zotu3232,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,8,0,0,,,
Zotu3250,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,5,0,,,
Zotu3277,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,,,
Zotu3278,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu3279,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu3281,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0,,,
Zotu3284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,,,
Zotu3295,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,,,
Zotu3302,0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,0,0,0,,,
Zotu3306,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,0,0,0,,,
Zotu3310,0,0,0,0,0,0,0,5,0,0,0,0,6,0,4,0,0,0,,,
Zotu3327,0,0,0,0,0,0,0,0,0,0,6,0,4,5,0,0,0,0,,,
Zotu3329,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,3,,,
Zotu3335,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0,,,
Zotu3352,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,,,
Zotu3368,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu3377,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,4,0,0,,,
Zotu3381,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,0,0,,,
Zotu3411,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,,,
Zotu3423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,,,
Zotu3425,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,,,
Zotu3429,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,,,
Zotu3434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,,,
Zotu3436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,,,
Zotu3453,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu3486,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,,,
Zotu3487,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,3,,,
Zotu3488,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,,,
Zotu3491,0,0,0,0,0,0,0,0,0,4,0,0,0,6,3,0,0,0,,,
Zotu3498,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,,,
Zotu3509,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,4,3,,,
Zotu3522,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,0,0,,,
Zotu3525,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,,,
Zotu3529,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,,,
Zotu3531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,,,
Zotu3537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,,,
Zotu3546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,,,
Zotu3561,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu3569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,
Zotu3573,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu3584,0,0,0,0,0,0,0,6,0,0,0,0,0,11,0,0,0,0,,,
Zotu3599,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,,,
Zotu3604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,,,
Zotu3615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,,,
Zotu3616,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,,,
Zotu3617,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,,,
Zotu3619,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,,,
Zotu3634,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,,,
Zotu3641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,,,
Zotu3645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,7,,,
Zotu3649,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,3,0,0,,,
Zotu3655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,,,
Zotu3656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,,,
Zotu3667,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,,,
Zotu3669,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,,,
Zotu3697,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,,,
Zotu3700,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu3709,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,,,
Zotu3723,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,,,
Zotu3725,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,,,
Zotu3751,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,,,
Zotu3752,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,,,
Zotu3756,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,3,0,,,
Zotu3758,0,0,0,0,0,0,0,0,0,3,4,0,0,6,0,0,0,3,,,
Zotu3763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,,,
Zotu3765,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,,,
Zotu3779,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu3785,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,,,
Zotu3787,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,,,
Zotu3817,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu3829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,
Zotu3835,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,,,
Zotu3836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,,,
Zotu3839,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu3846,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,,,
Zotu3855,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,,,
Zotu3861,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,,,
Zotu3869,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,,,
Zotu3870,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,,,
Zotu3876,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,,,
Zotu3912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,,
Zotu3913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,,,
Zotu3915,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,,,
Zotu3916,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,,,
Zotu3920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,0,,,
Zotu3923,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,,,
Zotu3924,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,,,
Zotu3929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,,,
Zotu3930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,,,
Zotu3957,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu3967,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu3973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,,
Zotu3978,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,,,
Zotu3980,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,,
Zotu3988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,,,
Zotu4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,,
Zotu4006,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,,,
Zotu4009,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,,,
Zotu4012,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,3,,,
Zotu4024,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,,,
Zotu4036,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,,,
Zotu4039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,,,
Zotu4041,0,0,0,0,0,0,0,0,0,0,4,0,7,0,3,0,0,0,,,
Zotu4042,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,,,
Zotu4044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,,,
Zotu4050,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,,,
Zotu4056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,,,
Zotu4061,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,,,
Zotu4062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,,,
Zotu4064,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,,,
Zotu4066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,,,
Zotu4067,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu4072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,,,
Zotu4075,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,,,
Zotu4097,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,4,,,
Zotu4106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,,,
Zotu4108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,,
Zotu4110,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,,,
Zotu4118,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,,,
Zotu4121,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,,,
Zotu4130,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,,,
Zotu4131,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,,
Zotu4137,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,,
Zotu4141,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,
Zotu4145,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu4156,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu4159,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,,,
Zotu4163,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu4169,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu4192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,,
Zotu4200,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,3,,,
Zotu4206,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,,,
Zotu4208,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,,,
Zotu4215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,,,
Zotu4216,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,,,
Zotu4227,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,,,
Zotu4236,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,,,
Zotu4238,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,,,
Zotu4240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,,,
Zotu4253,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu4254,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,
Zotu4257,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu4260,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,,,
Zotu4266,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,,,
Zotu4269,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,,,
Zotu4270,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,,,
Zotu4272,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,,,
Zotu4276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,,,
Zotu4278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,,
Zotu4282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,,,
Zotu4285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,,,
Zotu4299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,,,
Zotu4302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,,,
Zotu4330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,,,
Zotu4332,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,,,
Zotu4346,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,,
Zotu4350,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu4352,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu4359,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu4360,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Zotu4386,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,,,
Zotu4391,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,,,
Zotu4393,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,,,
Zotu4396,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,,,
Zotu4402,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,,,
Zotu4403,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,,,
Zotu4405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,,
Zotu4413,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,,
Zotu4414,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,,,
Zotu4417,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,,,
Zotu4423,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,,,
Zotu4431,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,,,
Zotu4432,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,,,
Zotu4439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,
Zotu4453,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,,,
Zotu4454,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,,,
Zotu4456,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,,,
Zotu4462,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,,,
Zotu4463,0,0,0,0,0,0,0,0,0,4,3,0,0,0,5,0,0,0,,,
Zotu4470,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,,,
Zotu4471,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,,,
Zotu4472,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,0,0,0,,,
Zotu4474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,,
Zotu4476,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,,,
Zotu4479,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,,,
Zotu4483,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,,,
Zotu4491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,
Zotu4493,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,,,
Zotu4494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,,,
Zotu4495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,,,
