"Taxon","sumFP","sumBL"
"Latescibacteria_genera_incertae_sedis",5,3
"Legionellaceae",18,18
"Lentisphaeraceae",9,4
"Leptotrichiaceae",1,1
"Lewinellaceae",5,5
"Limisphaera",0,1
"Marinicella",1,0
"Marinifilaceae",3,2
"Marinilabiliaceae",4,0
"Marinimicrobia_genera_incertae_sedis",29,26
"Mariprofundaceae",1,1
"Methylobacteriaceae",1,0
"Methylococcaceae",4,4
"Methylocystaceae",1,1
"Methylophilaceae",5,7
"Microbacteriaceae",20,18
"Microbulbiferaceae",1,0
"Micrococcaceae",2,1
"Micropepsaceae",3,5
"Moraxellaceae",12,15
"Moritellaceae",2,2
"Muribaculaceae",3,2
"Mycobacteriaceae",13,5
"Nannocystaceae",1,1
"Neisseriaceae",4,3
"Nitrosomonadaceae",1,1
"Nitrosopumilaceae",52,45
"Nitrospinaceae",68,51
"Nitrospiraceae",3,2
"Nocardioidaceae",0,2
"Oceanospirillaceae",8,4
"Oceanospirillales_incertae_sedis",12,14
"Odoribacteraceae",2,4
"Oligosphaeraceae",0,1
"Opitutaceae",3,4
"Oxalobacteraceae",16,14
"Pacearchaeota Incertae Sedis AR13",3,5
"Paenibacillaceae 1",2,2
"Paludibacteraceae",1,1
"Parvibaculaceae",2,1
"Pasteurellaceae",2,0
"Peptostreptococcaceae",3,5
"Petrotogaceae",1,1
"Phycisphaeraceae",1,0
"Phyllobacteriaceae",0,3
"Pirellulaceae",20,12
"Piscirickettsiaceae",2,0
"Planctomycetaceae",6,5
"Planococcaceae",1,1
"Poaceae",1,1
"Porphyromonadaceae",4,3
"Porticoccaceae",3,1
"Prevotellaceae",8,8
"Prolixibacteraceae",2,1
"Propionibacteriaceae",1,1
"Pseudoalteromonadaceae",2,1
"Pseudobacteriovoracaceae",1,1
"Pseudomonadaceae",14,13
"Pseudonocardiaceae",1,0
"Psychromonadaceae",9,6
"Puniceicoccaceae",14,12
"Reyranellaceae",4,6
"Rhizobiaceae",10,7
"Rhodanobacteraceae",1,0
"Rhodobacteraceae",35,29
"Rhodocyclaceae",1,0
"Rickettsiaceae",3,2
"Rikenellaceae",6,5
"Rubritaleaceae",14,11
"Ruminococcaceae",25,23
"SAR11",239,204
"Saccharibacteria_genera_incertae_sedis",5,1
"Salisaetaceae",1,1
"Saprospiraceae",10,10
"Selenomonadaceae",3,3
"Shewanellaceae",5,0
"Spartobacteria_genera_incertae_sedis",6,3
"Sphaerochaetaceae",1,0
"Sphingobacteriaceae",12,9
"Sphingomonadaceae",15,14
"Sphingosinicellaceae",1,0
"Spongiibacteraceae",2,2
"Sporichthyaceae",2,2
"Sporomusaceae",3,5
"Steroidobacteraceae",0,1
"Sterolibacteriaceae",4,2
"Streptococcaceae",3,2
"Subdivision3_genera_incertae_sedis",8,8
"Sulfurovaceae",2,1
"Sutterellaceae",1,1
"Synergistaceae",3,3
"Syntrophomonadaceae",3,2
"Terrimicrobiaceae",1,0
"Thalassobaculaceae",7,6
"Thalassospiraceae",1,1
"Thermoguttaceae",2,0
"Thermomonosporaceae",1,0
"Thiobacillaceae",1,1
"Thiotrichaceae",9,3
"Tissierellaceae",2,2
"Veillonellaceae",3,1
"Verrucomicrobiaceae",1,1
"Vibrionaceae",9,6
"Vicinamibacteraceae",0,1
"WPS-2_genera_incertae_sedis",2,0
"Weeksellaceae",9,4
"Wenzhouxiangellaceae",1,0
"Woesearchaeota Incertae Sedis AR16",2,0
"Woeseiaceae",21,17
"Xanthobacteraceae",8,7
"Xanthomonadaceae",8,2
"Yersiniaceae",1,0
"Zoogloeaceae",4,5
