"Taxon","sumOB31","sumOB32","sumOB33","sumOB34","Order","Genus"
"Acidaminococcales;Acidaminococcus",0,0,0,0,"Acidaminococcales","Acidaminococcus"
"Acidaminococcales;Phascolarctobacterium",0,0,0,0,"Acidaminococcales","Phascolarctobacterium"
"Acidimicrobiales;Actinomarinicola",1,1,0,0,"Acidimicrobiales","Actinomarinicola"
"Acidimicrobiales;Desertimonas",0,0,0,0,"Acidimicrobiales","Desertimonas"
"Acidimicrobiales;Ilumatobacter",3,2,2,0,"Acidimicrobiales","Ilumatobacter"
"Aeromonadales;Aeromonas",0,0,0,0,"Aeromonadales","Aeromonas"
"Aeromonadales;Pseudaeromonas",0,0,0,0,"Aeromonadales","Pseudaeromonas"
"Aeromonadales;Tolumonas",0,0,0,0,"Aeromonadales","Tolumonas"
"Alteromonadales;Agarivorans",0,0,0,0,"Alteromonadales","Agarivorans"
"Alteromonadales;Aliiglaciecola",0,0,0,0,"Alteromonadales","Aliiglaciecola"
"Alteromonadales;Catenovulum",0,0,0,0,"Alteromonadales","Catenovulum"
"Alteromonadales;Colwellia",3,5,4,0,"Alteromonadales","Colwellia"
"Alteromonadales;Echinimonas",0,0,0,0,"Alteromonadales","Echinimonas"
"Alteromonadales;Ferrimonas",0,0,0,0,"Alteromonadales","Ferrimonas"
"Alteromonadales;Moritella",0,0,0,0,"Alteromonadales","Moritella"
"Alteromonadales;Paraglaciecola",0,0,0,0,"Alteromonadales","Paraglaciecola"
"Alteromonadales;Paramoritella",0,0,0,0,"Alteromonadales","Paramoritella"
"Alteromonadales;Pseudoalteromonas",1,0,0,0,"Alteromonadales","Pseudoalteromonas"
"Alteromonadales;Psychrobium",0,0,0,0,"Alteromonadales","Psychrobium"
"Alteromonadales;Psychromonas",2,1,2,0,"Alteromonadales","Psychromonas"
"Alteromonadales;Psychrosphaera",0,0,0,0,"Alteromonadales","Psychrosphaera"
"Alteromonadales;Shewanella",1,0,1,0,"Alteromonadales","Shewanella"
"Alteromonadales;Thalassotalea",1,0,0,0,"Alteromonadales","Thalassotalea"
"Anaeroplasmatales;Anaeroplasma",0,1,0,0,"Anaeroplasmatales","Anaeroplasma"
"Arenicellales;Arenicella",1,3,1,0,"Arenicellales","Arenicella"
"Armatimonadales;Armatimonas/Armatimonadetes_gp1",0,0,0,0,"Armatimonadales","Armatimonas/Armatimonadetes_gp1"
"Atribacteria_genera_incertae_sedis;Atribacteria_genera_incertae_sedis",0,0,0,0,"Atribacteria_genera_incertae_sedis","Atribacteria_genera_incertae_sedis"
"BRC1_genera_incertae_sedis;BRC1_genera_incertae_sedis",0,0,0,0,"BRC1_genera_incertae_sedis","BRC1_genera_incertae_sedis"
"Bacillales;Gemella",0,0,0,0,"Bacillales","Gemella"
"Bacillales;Lysinibacillus",0,0,0,0,"Bacillales","Lysinibacillus"
"Bacillales;Paenibacillus",1,0,0,0,"Bacillales","Paenibacillus"
"Bacteriovoracales;Bacteriovorax",0,0,0,0,"Bacteriovoracales","Bacteriovorax"
"Bacteriovoracales;Halobacteriovorax",0,0,2,0,"Bacteriovoracales","Halobacteriovorax"
"Bacteroidales;Alistipes",0,0,1,0,"Bacteroidales","Alistipes"
"Bacteroidales;Ancylomarina",0,0,0,0,"Bacteroidales","Ancylomarina"
"Bacteroidales;Bacteroides",2,0,0,0,"Bacteroidales","Bacteroides"
"Bacteroidales;Barnesiella",0,0,0,0,"Bacteroidales","Barnesiella"
"Bacteroidales;Butyricimonas",0,0,0,0,"Bacteroidales","Butyricimonas"
"Bacteroidales;Carboxylicivirga",0,0,0,0,"Bacteroidales","Carboxylicivirga"
"Bacteroidales;Duncaniella",1,2,0,1,"Bacteroidales","Duncaniella"
"Bacteroidales;Fermentimonas",0,0,0,0,"Bacteroidales","Fermentimonas"
"Bacteroidales;Geofilum",0,1,0,0,"Bacteroidales","Geofilum"
"Bacteroidales;Labilibaculum",0,0,0,0,"Bacteroidales","Labilibaculum"
"Bacteroidales;Maribellus",0,0,1,0,"Bacteroidales","Maribellus"
"Bacteroidales;Odoribacter",0,2,0,0,"Bacteroidales","Odoribacter"
"Bacteroidales;Paludibacter",0,0,0,0,"Bacteroidales","Paludibacter"
"Bacteroidales;Parabacteroides",0,0,0,0,"Bacteroidales","Parabacteroides"
"Bacteroidales;Paramuribaculum",0,0,0,0,"Bacteroidales","Paramuribaculum"
"Bacteroidales;Petrimonas",0,1,0,0,"Bacteroidales","Petrimonas"
"Bacteroidales;Phocaeicola",4,1,0,0,"Bacteroidales","Phocaeicola"
"Bacteroidales;Prevotella",1,0,0,0,"Bacteroidales","Prevotella"
"Bacteroidales;Prevotellamassilia",0,1,2,0,"Bacteroidales","Prevotellamassilia"
"Bacteroidales;Prolixibacter",0,0,0,0,"Bacteroidales","Prolixibacter"
"Bacteroidales;Roseimarinus",0,0,0,0,"Bacteroidales","Roseimarinus"
"Bacteroidales;Saccharicrinis",1,0,0,0,"Bacteroidales","Saccharicrinis"
"Bdellovibrionales;Vampirovibrio",1,0,0,0,"Bdellovibrionales","Vampirovibrio"
"Betaproteobacteria_incertae_sedis;Casimicrobium",0,0,0,0,"Betaproteobacteria_incertae_sedis","Casimicrobium"
"Bifidobacteriales;Bifidobacterium",0,0,0,0,"Bifidobacteriales","Bifidobacterium"
"Bradymonadales;Bradymonas",0,0,0,0,"Bradymonadales","Bradymonas"
"Burkholderiales;Acidovorax",2,0,1,0,"Burkholderiales","Acidovorax"
"Burkholderiales;Aquabacterium",0,1,0,0,"Burkholderiales","Aquabacterium"
"Burkholderiales;Bordetella",0,1,1,0,"Burkholderiales","Bordetella"
"Burkholderiales;Castellaniella",0,0,0,0,"Burkholderiales","Castellaniella"
"Burkholderiales;Comamonas",0,1,0,0,"Burkholderiales","Comamonas"
"Burkholderiales;Curvibacter",0,0,0,0,"Burkholderiales","Curvibacter"
"Burkholderiales;Duganella",0,0,0,0,"Burkholderiales","Duganella"
"Burkholderiales;Herbaspirillum",0,0,0,0,"Burkholderiales","Herbaspirillum"
"Burkholderiales;Hydrogenophaga",3,2,1,0,"Burkholderiales","Hydrogenophaga"
"Burkholderiales;Hydromonas",0,0,0,0,"Burkholderiales","Hydromonas"
"Burkholderiales;Janthinobacterium",1,0,1,0,"Burkholderiales","Janthinobacterium"
"Burkholderiales;Malikia",0,0,0,0,"Burkholderiales","Malikia"
"Burkholderiales;Massilia",0,0,0,0,"Burkholderiales","Massilia"
"Burkholderiales;Noviherbaspirillum",0,0,0,0,"Burkholderiales","Noviherbaspirillum"
"Burkholderiales;Parasutterella",0,0,0,0,"Burkholderiales","Parasutterella"
"Burkholderiales;Pelomonas",0,0,0,0,"Burkholderiales","Pelomonas"
"Burkholderiales;Polaromonas",1,1,0,0,"Burkholderiales","Polaromonas"
"Burkholderiales;Polynucleobacter",5,3,4,0,"Burkholderiales","Polynucleobacter"
"Burkholderiales;Ralstonia",0,0,0,0,"Burkholderiales","Ralstonia"
"Burkholderiales;Rhizobacter",1,0,0,0,"Burkholderiales","Rhizobacter"
"Burkholderiales;Rhodoferax",0,0,0,0,"Burkholderiales","Rhodoferax"
"Burkholderiales;Simplicispira",0,0,0,0,"Burkholderiales","Simplicispira"
"Burkholderiales;Sphaerotilus",0,0,1,0,"Burkholderiales","Sphaerotilus"
"Burkholderiales;Tepidimonas",0,0,0,0,"Burkholderiales","Tepidimonas"
"Burkholderiales;Undibacterium",0,0,0,0,"Burkholderiales","Undibacterium"
"Burkholderiales;Variovorax",0,0,0,0,"Burkholderiales","Variovorax"
"Campylobacterales;Aliarcobacter",0,0,0,0,"Campylobacterales","Aliarcobacter"
"Campylobacterales;Poseidonibacter",1,1,1,0,"Campylobacterales","Poseidonibacter"
"Campylobacterales;Pseudarcobacter",0,1,0,0,"Campylobacterales","Pseudarcobacter"
"Campylobacterales;Sulfurovum",0,0,0,0,"Campylobacterales","Sulfurovum"
"Candidatus Cloacamonas;Candidatus Cloacamonas",0,0,0,0,"Candidatus Cloacamonas","Candidatus Cloacamonas"
"Candidatus Hydrogenedens;Candidatus Hydrogenedens",1,1,0,0,"Candidatus Hydrogenedens","Candidatus Hydrogenedens"
"Caulobacterales;Algimonas",0,0,0,0,"Caulobacterales","Algimonas"
"Caulobacterales;Asprobacter",0,0,0,0,"Caulobacterales","Asprobacter"
"Caulobacterales;Brevundimonas",0,0,0,0,"Caulobacterales","Brevundimonas"
"Caulobacterales;Caulobacter",0,0,0,0,"Caulobacterales","Caulobacter"
"Caulobacterales;Hellea",1,1,1,0,"Caulobacterales","Hellea"
"Caulobacterales;Phenylobacterium",0,0,0,0,"Caulobacterales","Phenylobacterium"
"Cellvibrionales;Cellvibrio",0,0,0,0,"Cellvibrionales","Cellvibrio"
"Cellvibrionales;Eionea",0,0,0,0,"Cellvibrionales","Eionea"
"Cellvibrionales;Haliea",0,0,0,0,"Cellvibrionales","Haliea"
"Cellvibrionales;Halioglobus",1,1,1,0,"Cellvibrionales","Halioglobus"
"Cellvibrionales;Luminiphilus",4,4,4,0,"Cellvibrionales","Luminiphilus"
"Cellvibrionales;Marimicrobium",3,2,2,0,"Cellvibrionales","Marimicrobium"
"Cellvibrionales;Microbulbifer",1,0,0,0,"Cellvibrionales","Microbulbifer"
"Cellvibrionales;Oceanicoccus",0,0,0,0,"Cellvibrionales","Oceanicoccus"
"Cellvibrionales;Porticoccus",1,1,1,0,"Cellvibrionales","Porticoccus"
"Chitinophagales;Ferruginibacter",0,0,0,0,"Chitinophagales","Ferruginibacter"
"Chitinophagales;Flavitalea",0,0,0,0,"Chitinophagales","Flavitalea"
"Chitinophagales;Niastella",0,0,0,0,"Chitinophagales","Niastella"
"Chitinophagales;Panacibacter",1,0,0,0,"Chitinophagales","Panacibacter"
"Chitinophagales;Sediminibacterium",1,1,2,0,"Chitinophagales","Sediminibacterium"
"Chitinophagales;Taibaiella",0,0,0,0,"Chitinophagales","Taibaiella"
"Chitinophagales;Terrimonas",0,0,0,0,"Chitinophagales","Terrimonas"
"Chloroplast;Bacillariophyta",22,15,13,4,"Chloroplast","Bacillariophyta"
"Chloroplast;Chlorophyta",6,6,7,0,"Chloroplast","Chlorophyta"
"Chloroplast;Cryptomonadaceae",2,4,3,2,"Chloroplast","Cryptomonadaceae"
"Chloroplast;Euglenida",0,0,0,0,"Chloroplast","Euglenida"
"Chloroplast;Streptophyta",0,0,0,0,"Chloroplast","Streptophyta"
"Chromatiales;Granulosicoccus",1,0,1,0,"Chromatiales","Granulosicoccus"
"Chromatiales;Wenzhouxiangella",0,0,0,0,"Chromatiales","Wenzhouxiangella"
"Chromatiales;Woeseia",6,4,4,0,"Chromatiales","Woeseia"
"Clostridiales;Acetivibrio",0,0,0,0,"Clostridiales","Acetivibrio"
"Clostridiales;Acetobacterium",0,0,0,0,"Clostridiales","Acetobacterium"
"Clostridiales;Aminipila",0,0,0,0,"Clostridiales","Aminipila"
"Clostridiales;Anaerostipes",0,0,0,0,"Clostridiales","Anaerostipes"
"Clostridiales;Blautia",1,0,1,1,"Clostridiales","Blautia"
"Clostridiales;Butyricicoccus",0,0,0,0,"Clostridiales","Butyricicoccus"
"Clostridiales;Clostridium IV",0,0,0,0,"Clostridiales","Clostridium IV"
"Clostridiales;Clostridium XlVa",0,0,0,0,"Clostridiales","Clostridium XlVa"
"Clostridiales;Clostridium XlVb",0,0,0,0,"Clostridiales","Clostridium XlVb"
"Clostridiales;Clostridium sensu stricto",0,0,0,0,"Clostridiales","Clostridium sensu stricto"
"Clostridiales;Colidextribacter",1,0,0,0,"Clostridiales","Colidextribacter"
"Clostridiales;Coprococcus",0,0,0,0,"Clostridiales","Coprococcus"
"Clostridiales;Dorea",0,0,0,0,"Clostridiales","Dorea"
"Clostridiales;Dysosmobacter",0,0,0,0,"Clostridiales","Dysosmobacter"
"Clostridiales;Eisenbergiella",0,1,0,0,"Clostridiales","Eisenbergiella"
"Clostridiales;Enterocloster",0,0,0,0,"Clostridiales","Enterocloster"
"Clostridiales;Faecalibacterium",0,0,0,0,"Clostridiales","Faecalibacterium"
"Clostridiales;Flintibacter",2,2,0,1,"Clostridiales","Flintibacter"
"Clostridiales;Fusibacter",0,0,0,0,"Clostridiales","Fusibacter"
"Clostridiales;Fusicatenibacter",0,0,0,0,"Clostridiales","Fusicatenibacter"
"Clostridiales;Gemmiger",0,0,0,0,"Clostridiales","Gemmiger"
"Clostridiales;Hathewaya",0,0,0,0,"Clostridiales","Hathewaya"
"Clostridiales;Hungatella",0,0,0,0,"Clostridiales","Hungatella"
"Clostridiales;Intestinibacillus",0,0,0,0,"Clostridiales","Intestinibacillus"
"Clostridiales;Intestinimonas",1,0,0,1,"Clostridiales","Intestinimonas"
"Clostridiales;Kineothrix",2,0,1,1,"Clostridiales","Kineothrix"
"Clostridiales;Lachnospira",0,0,0,0,"Clostridiales","Lachnospira"
"Clostridiales;Lachnospiracea_incertae_sedis",0,0,0,0,"Clostridiales","Lachnospiracea_incertae_sedis"
"Clostridiales;Lacrimispora",0,0,1,0,"Clostridiales","Lacrimispora"
"Clostridiales;Mediterraneibacter",0,0,0,0,"Clostridiales","Mediterraneibacter"
"Clostridiales;Mogibacterium",0,0,0,0,"Clostridiales","Mogibacterium"
"Clostridiales;Monoglobus",0,0,0,0,"Clostridiales","Monoglobus"
"Clostridiales;Neglecta",0,0,1,0,"Clostridiales","Neglecta"
"Clostridiales;Oscillibacter",0,0,0,0,"Clostridiales","Oscillibacter"
"Clostridiales;Paeniclostridium",0,0,0,0,"Clostridiales","Paeniclostridium"
"Clostridiales;Peptacetobacter",0,0,1,0,"Clostridiales","Peptacetobacter"
"Clostridiales;Phocea",1,0,0,1,"Clostridiales","Phocea"
"Clostridiales;Proteocatella",0,0,0,0,"Clostridiales","Proteocatella"
"Clostridiales;Romboutsia",1,2,1,0,"Clostridiales","Romboutsia"
"Clostridiales;Roseburia",0,0,0,0,"Clostridiales","Roseburia"
"Clostridiales;Ruminococcus",0,0,0,0,"Clostridiales","Ruminococcus"
"Clostridiales;Ruminococcus2",0,0,0,0,"Clostridiales","Ruminococcus2"
"Clostridiales;Schaedlerella",1,0,2,1,"Clostridiales","Schaedlerella"
"Clostridiales;Sedimentibacter",0,0,1,0,"Clostridiales","Sedimentibacter"
"Clostridiales;Sporobacter",0,0,1,0,"Clostridiales","Sporobacter"
"Clostridiales;Syntrophomonas",0,0,0,0,"Clostridiales","Syntrophomonas"
"Clostridiales;Tissierella",0,0,1,0,"Clostridiales","Tissierella"
"Coprothermobacterales;Coprothermobacter",0,1,0,0,"Coprothermobacterales","Coprothermobacter"
"Coriobacteriales;Collinsella",1,0,0,0,"Coriobacteriales","Collinsella"
"Cytophagales;Algoriphagus",0,0,0,0,"Cytophagales","Algoriphagus"
"Cytophagales;Aquirufa",0,1,0,0,"Cytophagales","Aquirufa"
"Cytophagales;Arcicella",0,0,0,0,"Cytophagales","Arcicella"
"Cytophagales;Aureibacter",0,0,0,0,"Cytophagales","Aureibacter"
"Cytophagales;Dyadobacter",0,0,0,0,"Cytophagales","Dyadobacter"
"Cytophagales;Emticicia",0,0,0,0,"Cytophagales","Emticicia"
"Cytophagales;Flectobacillus",0,0,0,0,"Cytophagales","Flectobacillus"
"Cytophagales;Fulvivirga",0,0,0,0,"Cytophagales","Fulvivirga"
"Cytophagales;Lacihabitans",0,0,0,0,"Cytophagales","Lacihabitans"
"Deferribacterales;Mucispirillum",0,1,0,0,"Deferribacterales","Mucispirillum"
"Deltaproteobacteria_incertae_sedis;Deferrisoma",0,0,0,0,"Deltaproteobacteria_incertae_sedis","Deferrisoma"
"Desulfobacterales;Desulfatiglans",0,0,0,0,"Desulfobacterales","Desulfatiglans"
"Desulfobacterales;Desulfobulbus",2,0,0,0,"Desulfobacterales","Desulfobulbus"
"Desulfobacterales;Desulfoconvexum",0,0,0,0,"Desulfobacterales","Desulfoconvexum"
"Desulfobacterales;Desulfopila",0,0,0,0,"Desulfobacterales","Desulfopila"
"Desulfobacterales;Desulforhopalus",0,0,0,0,"Desulfobacterales","Desulforhopalus"
"Desulfobacterales;Desulfosarcina",0,0,0,0,"Desulfobacterales","Desulfosarcina"
"Desulfobacterales;Desulfotalea",1,0,0,0,"Desulfobacterales","Desulfotalea"
"Desulfovibrionales;Desulfovibrio",0,1,0,0,"Desulfovibrionales","Desulfovibrio"
"Desulfuromonadales;Geobacter",1,0,0,0,"Desulfuromonadales","Geobacter"
"Desulfuromonadales;Pelobacter",0,0,0,0,"Desulfuromonadales","Pelobacter"
"Eggerthellales;Adlercreutzia",1,1,0,1,"Eggerthellales","Adlercreutzia"
"Emcibacterales;Emcibacter",1,1,1,0,"Emcibacterales","Emcibacter"
"Enterobacterales;Enterobacter",0,1,1,0,"Enterobacterales","Enterobacter"
"Enterobacterales;Raoultella",0,0,0,0,"Enterobacterales","Raoultella"
"Enterobacterales;Yersinia",0,0,0,0,"Enterobacterales","Yersinia"
"Erysipelotrichales;Catenibacterium",0,0,0,0,"Erysipelotrichales","Catenibacterium"
"Erysipelotrichales;Clostridium XVIII",0,0,0,0,"Erysipelotrichales","Clostridium XVIII"
"Erysipelotrichales;Erysipelatoclostridium",0,0,0,0,"Erysipelotrichales","Erysipelatoclostridium"
"Erysipelotrichales;Faecalibacillus",0,0,0,0,"Erysipelotrichales","Faecalibacillus"
"Erysipelotrichales;Holdemanella",0,0,0,0,"Erysipelotrichales","Holdemanella"
"Erysipelotrichales;Massilimicrobiota",1,0,0,1,"Erysipelotrichales","Massilimicrobiota"
"Family II;GpIIa",4,3,3,1,"Family II","GpIIa"
"Family II;Prochlorococcus",0,0,0,0,"Family II","Prochlorococcus"
"Family XIII;GpXIII",1,0,0,1,"Family XIII","GpXIII"
"Family XIII;Planktothrix",0,0,0,0,"Family XIII","Planktothrix"
"Flavobacteriales;Actibacter",1,0,0,0,"Flavobacteriales","Actibacter"
"Flavobacteriales;Aequorivita",1,0,0,0,"Flavobacteriales","Aequorivita"
"Flavobacteriales;Algibacter",1,1,3,0,"Flavobacteriales","Algibacter"
"Flavobacteriales;Aquimarina",0,0,1,0,"Flavobacteriales","Aquimarina"
"Flavobacteriales;Bizionia",0,0,1,0,"Flavobacteriales","Bizionia"
"Flavobacteriales;Brumimicrobium",0,0,0,0,"Flavobacteriales","Brumimicrobium"
"Flavobacteriales;Cellulophaga",0,2,1,0,"Flavobacteriales","Cellulophaga"
"Flavobacteriales;Chryseobacterium",0,0,0,0,"Flavobacteriales","Chryseobacterium"
"Flavobacteriales;Cloacibacterium",0,0,0,0,"Flavobacteriales","Cloacibacterium"
"Flavobacteriales;Crocinitomix",5,1,2,0,"Flavobacteriales","Crocinitomix"
"Flavobacteriales;Dokdonia",0,0,0,0,"Flavobacteriales","Dokdonia"
"Flavobacteriales;Empedobacter",0,0,0,0,"Flavobacteriales","Empedobacter"
"Flavobacteriales;Eudoraea",0,0,0,0,"Flavobacteriales","Eudoraea"
"Flavobacteriales;Flavicella",0,0,0,0,"Flavobacteriales","Flavicella"
"Flavobacteriales;Flavobacterium",3,1,5,0,"Flavobacteriales","Flavobacterium"
"Flavobacteriales;Fluviicola",0,0,0,0,"Flavobacteriales","Fluviicola"
"Flavobacteriales;Formosa",4,4,2,0,"Flavobacteriales","Formosa"
"Flavobacteriales;Gaetbulibacter",0,0,0,0,"Flavobacteriales","Gaetbulibacter"
"Flavobacteriales;Lacinutrix",0,0,0,0,"Flavobacteriales","Lacinutrix"
"Flavobacteriales;Lutibacter",0,1,2,0,"Flavobacteriales","Lutibacter"
"Flavobacteriales;Lutimonas",1,1,1,0,"Flavobacteriales","Lutimonas"
"Flavobacteriales;Maribacter",2,0,0,0,"Flavobacteriales","Maribacter"
"Flavobacteriales;Owenweeksia",2,2,1,0,"Flavobacteriales","Owenweeksia"
"Flavobacteriales;Phaeocystidibacter",0,0,1,0,"Flavobacteriales","Phaeocystidibacter"
"Flavobacteriales;Polaribacter",3,3,4,0,"Flavobacteriales","Polaribacter"
"Flavobacteriales;Pseudofulvibacter",2,3,1,0,"Flavobacteriales","Pseudofulvibacter"
"Flavobacteriales;Saonia",1,0,0,0,"Flavobacteriales","Saonia"
"Flavobacteriales;Taeania",0,1,0,0,"Flavobacteriales","Taeania"
"Flavobacteriales;Tenacibaculum",2,1,0,0,"Flavobacteriales","Tenacibaculum"
"Flavobacteriales;Ulvibacter",1,2,2,0,"Flavobacteriales","Ulvibacter"
"Flavobacteriales;Vicingus",2,2,1,0,"Flavobacteriales","Vicingus"
"Flavobacteriales;Wenyingzhuangia",1,1,1,0,"Flavobacteriales","Wenyingzhuangia"
"Flavobacteriales;Winogradskyella",2,1,1,0,"Flavobacteriales","Winogradskyella"
"Flavobacteriales;Zobellia",1,0,1,0,"Flavobacteriales","Zobellia"
"Frankiales;Jatrophihabitans",0,0,0,0,"Frankiales","Jatrophihabitans"
"Fusobacteriales;Cetobacterium",0,0,0,0,"Fusobacteriales","Cetobacterium"
"Fusobacteriales;Fusobacterium",2,1,1,0,"Fusobacteriales","Fusobacterium"
"Fusobacteriales;Hypnocyclicus",0,0,0,0,"Fusobacteriales","Hypnocyclicus"
"Fusobacteriales;Propionigenium",0,0,0,0,"Fusobacteriales","Propionigenium"
"Fusobacteriales;Psychrilyobacter",0,0,0,0,"Fusobacteriales","Psychrilyobacter"
"Gaiellales;Gaiella",0,0,0,0,"Gaiellales","Gaiella"
"Gammaproteobacteria_incertae_sedis;Candidatus Carsonella",0,0,0,0,"Gammaproteobacteria_incertae_sedis","Candidatus Carsonella"
"Gammaproteobacteria_incertae_sedis;Ignatzschineria",0,0,0,0,"Gammaproteobacteria_incertae_sedis","Ignatzschineria"
"Gammaproteobacteria_incertae_sedis;Marinicella",0,0,0,0,"Gammaproteobacteria_incertae_sedis","Marinicella"
